base,target,last,volume,converted_last,converted_volume,timestamp,last_traded_at,last_fetch_at
SOL,BTC,0.0024595,27261.678,"{'btc': 1.0, 'eth': 25.109213, 'usd': 66914}","{'btc': 66.061, 'eth': 1659, 'usd': 4420412}",2024-10-21 15:46:41+00:00,2024-10-21 15:46:41+00:00,2024-10-21 15:46:41+00:00
RUNE,BTC,7.368e-05,998543.7,"{'btc': 1.0, 'eth': 25.109213, 'usd': 66914}","{'btc': 74.154, 'eth': 1862, 'usd': 4961934}",2024-10-21 15:45:25+00:00,2024-10-21 15:45:25+00:00,2024-10-21 15:46:43+00:00
BTC,DAI,66863.51,29.5033,"{'btc': 0.9997778, 'eth': 25.115236, 'usd': 66843, 'usd_v2': 66843}","{'btc': 29.496744, 'eth': 740.982, 'usd': 1972102, 'usd_v2': 1972102}",2024-10-21 15:43:58+00:00,2024-10-21 15:43:58+00:00,2024-10-21 15:43:58+00:00
BTC,USD,66906.0,18.16626808,"{'btc': 1.000562, 'eth': 25.130752, 'usd': 66906}","{'btc': 18.176475, 'eth': 456.532, 'usd': 1215432}",2024-10-21 15:44:58+00:00,2024-10-21 15:44:58+00:00,2024-10-21 15:44:58+00:00
LINK,BTC,0.00017324,83351.94,"{'btc': 1.0, 'eth': 25.113185, 'usd': 66887}","{'btc': 14.43989, 'eth': 362.632, 'usd': 965843}",2024-10-21 15:45:37+00:00,2024-10-21 15:45:37+00:00,2024-10-21 15:45:37+00:00
ETH,BTC,0.03982,722.10163545,"{'btc': 1.0, 'eth': 25.113185, 'usd': 66887}","{'btc': 28.754087, 'eth': 722.107, 'usd': 1923279}",2024-10-21 15:45:48+00:00,2024-10-21 15:45:48+00:00,2024-10-21 15:45:48+00:00
APE,BTC,2.261e-05,4768283.93,"{'btc': 1.0, 'eth': 25.114835, 'usd': 66871}","{'btc': 107.226, 'eth': 2693, 'usd': 7170294}",2024-10-21 15:45:29+00:00,2024-10-21 15:45:29+00:00,2024-10-21 15:45:29+00:00
SOL,BTC,0.0024517,25975.39,"{'btc': 1.0, 'eth': 25.124015, 'usd': 66860}","{'btc': 63.684, 'eth': 1600, 'usd': 4257922}",2024-10-21 15:43:06+00:00,2024-10-21 15:43:06+00:00,2024-10-21 15:43:06+00:00
BNB,BTC,0.008878,5574.24,"{'btc': 1.0, 'eth': 25.113185, 'usd': 66887}","{'btc': 49.216722, 'eth': 1236, 'usd': 3291966}",2024-10-21 15:46:01+00:00,2024-10-21 15:46:01+00:00,2024-10-21 15:46:01+00:00
ETH,BTC,0.03972112,28061.77934543,"{'btc': 1.0, 'eth': 25.112158, 'usd': 66896}","{'btc': 1115, 'eth': 27991, 'usd': 74565749}",2024-10-21 15:46:10+00:00,2024-10-21 15:46:10+00:00,2024-10-21 15:46:10+00:00
BTC,USDT,67001.25,84.77216320591033,"{'btc': 1.001157, 'eth': 25.143882, 'usd': 66948, 'usd_v2': 66958}","{'btc': 84.87, 'eth': 2132, 'usd': 5675349, 'usd_v2': 5676140}",2024-10-21 15:39:16+00:00,2024-10-21 15:39:16+00:00,2024-10-21 15:45:10+00:00
ETH,BTC,0.03983379,1281.27979618,"{'btc': 1.0, 'eth': 25.114835, 'usd': 66871}","{'btc': 51.038, 'eth': 1282, 'usd': 3412973}",2024-10-21 15:45:16+00:00,2024-10-21 15:45:16+00:00,2024-10-21 15:45:16+00:00
LTC,BTC,0.001063,85278.48,"{'btc': 1.0, 'eth': 25.113185, 'usd': 66887}","{'btc': 90.651, 'eth': 2277, 'usd': 6063388}",2024-10-21 15:45:37+00:00,2024-10-21 15:45:37+00:00,2024-10-21 15:45:37+00:00
BTC,CHF,57882.7,37.98172904,"{'btc': 0.99930926, 'eth': 25.091869, 'usd': 66867}","{'btc': 37.955494, 'eth': 953.033, 'usd': 2539743}",2024-10-21 15:46:56+00:00,2024-10-21 15:46:56+00:00,2024-10-21 15:46:56+00:00
AVAX,BTC,0.00041329,34962.41,"{'btc': 1.0, 'eth': 25.113185, 'usd': 66887}","{'btc': 14.449614, 'eth': 362.876, 'usd': 966493}",2024-10-21 15:45:37+00:00,2024-10-21 15:45:37+00:00,2024-10-21 15:45:37+00:00
BTC,USDT,66903.99,142.97893,"{'btc': 0.99983033, 'eth': 25.127237, 'usd': 66853, 'usd_v2': 66871}","{'btc': 142.955, 'eth': 3593, 'usd': 9558506, 'usd_v2': 9561078}",2024-10-21 15:42:59+00:00,2024-10-21 15:42:59+00:00,2024-10-21 15:42:59+00:00
SOL,BTC,0.0024555,14981.61,"{'btc': 1.0, 'eth': 25.109213, 'usd': 66914}","{'btc': 36.335266, 'eth': 912.35, 'usd': 2431327}",2024-10-21 15:45:58+00:00,2024-10-21 15:45:58+00:00,2024-10-21 15:46:57+00:00
